SAMPLE_ID,NMFS_DNA_ID,collection,PofZ,z_score,TemporalAvail,SpatialAvail,FisheriesCollMonth,FisheriesCollSeason,FisheriesLatDD,FisheriesLongDD,MissingSBND
10-0651,NF002046,Chagulak,0.986048818,1.09160558,1,1,11,nonbreeding,56.85,-173.055,
10-0653,NF002048,Semidi,0.999971269,0.702572104,1,1,11,nonbreeding,56.85,-173.055,
10-0654,NF002049,Semidi,0.999937334,0.772775595,1,1,11,nonbreeding,56.85,-173.055,
10-0655,NF002050,Chagulak,0.984927585,1.997064642,1,1,11,nonbreeding,56.85,-173.055,3748
10-0656,NF002051,Pribilof,0.996970517,1.082517772,1,1,11,nonbreeding,56.85,-173.055,
10-0657,NF002052,Pribilof,0.994141601,0.825813148,1,1,10,nonbreeding,52.61667,173.05667,
10-0658,NF002053,Pribilof,0.992955799,1.491401422,1,1,10,nonbreeding,57.01528,-173.41944,
10-0659,NF002054,StMatthew,0.999223753,0.313737924,1,1,11,nonbreeding,57.01528,-173.41944,
10-0680,NF002056,Pribilof,0.999961164,1.467867516,1,1,2,nonbreeding,59.07472,-174.96944,
10-0682,NF002058,StMatthew,0.999437722,-1.473094967,1,1,2,nonbreeding,59.07472,-174.96944,
10-0683,NF002059,Pribilof,0.999802974,1.812881769,1,1,2,nonbreeding,59.07472,-174.96944,
10-0685,NF002061,Semidi,0.99995754,0.530106152,1,1,3,nonbreeding,54.2,-161.23333,
10-0703,NF002062,StMatthew,0.999872662,-1.432782306,1,1,3,nonbreeding,55.61083,-164.14972,
10-0723,NF002063,Pribilof,0.999784812,1.001061749,1,1,9,breeding,56.2,-170.23333,
10-0724,NF002064,Chagulak,0.999914111,-1.373091584,1,1,9,breeding,56.35,-170.3,
10-0725,NF002065,Chagulak,0.999969193,0.134821971,1,1,9,breeding,56.35,-170.3,
10-0726,NF002066,Semidi,0.999018293,1.614266274,1,1,10,nonbreeding,54.55,-159.43333,
10-0727,NF002067,Semidi,0.987564299,2.002980804,1,1,10,nonbreeding,54.55,-159.43333,
10-0730,NF002070,Semidi,0.990231161,0.768050177,1,1,9,breeding,54.08333,-166.6,
10-0738,NF002071,Chagulak,0.999995001,-2.225713934,1,1,12,nonbreeding,44.26667,-124.96667,
10-0744,NF002072,Pribilof,0.975321105,0.639949007,1,1,9,breeding,55.03278,-167.1025,
